code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level
CHI002,หนองบัวระเหว,15.77047,101.81252,หนองบัวระเหว,หนองบัวระเหว,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,194.221,193.789,185.68,198
MUN011,พิบูลมังสาหาร,15.24965,105.23927,โพธิ์ศรี,พิบูลมังสาหาร,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,114.234,115.535,106.296,
WAN006,วัง6(W1C),18.299717,99.511231,เวียงเหนือ,เมืองลำปาง,ลำปาง,แม่น้ำวัง,ภาคเหนือ,,,,
MUN014,สตึก,15.29988,103.29216,นิคม,สตึก,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,110.76,111.114,101.846,
PAS006,วังม่วง,14.740930,101.059720,แสลงพัน,วังม่วง,สระบุรี,แม่น้ำป่าสัก,ภาคกลาง,24.838,21.173,9.56,
CHM006,จอมทอง,18.42321,98.69834,ข่วงเปา,จอมทอง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,277.206,277.253,267.778,
GLF001,ป้อมพระจุลจอมเกล้า,13.573825,100.57397,แหลมฟ้าผ่า,พระสมุทรเจดีย์,สมุทรปราการ,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,2.849,2.724,,
LBI002,เมืองลพบุรี,14.760510,100.59966,โพธิ์เก้าต้น,เมืองลพบุรี,ลพบุรี,แม่น้ำป่าสัก,ภาคกลาง,6.849,6.45,0.129,
NAN014,ตรอน,17.418305,100.13089,หาดสองแคว,ตรอน,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,53.976,52.156,44.976,
PRC002,เมืองปราจีนบุรี,14.0525,101.373,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,แม่น้ำปราจีนบุรี,ภาคตะวันออก,5.44,6.42,-4.27,
SKM005,สว่างแดนดิน,17.59462,103.38453,โพนสูง,สว่างแดนดิน,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,157.209,156.592,150.1,
CHI015,เมืองขอนแก่น,16.52890,102.90582,หนองตูม,เมืองขอนแก่น,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,132.475,133.253,121.85,
CHM004,เชียงดาว,19.36731,98.96883,เชียงดาว,เชียงดาว,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,381.849,382.589,378.799,
CPY014,สะพานนวลฉวี,13.915725,100.494031,บ้านใหม่,ปากเกร็ด,นนทบุรี,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,3.03,2.27,-13.373,
DIV003,คลองผันน้ำยม-น่าน3,17.292606,100.077617,คอรุม,พิชัย,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,53.36,52.76,43.78,
DIV006,ท่อทองแดง2,16.825629,99.812738,หนองกระดิ่ง,คีรีมาศ,สุโขทัย,แม่น้ำยม,ภาคเหนือ,47.09,47.04,43.15,
BKK021,คลองลาดพร้าว วัดบางบัว,13.85411,100.58750,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,แม่น้ำในกรุงเทพและปริมณฑล,กรุงเทพและปริมณฑล,,,-0.33,
