station_code,station_name,latitude,longitude,tambon,amphoe,province,basin,sub_basin,left_bank_msl,right_bank_msl,ground_level_msl
ONE046,สะพานข้ามคลองท่าชนะ,9.576609,99.12949,คลองพา,ท่าชนะ,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกส่วนที่ 2,16.506,14.544,4.26
ONE048,สะพานผันน้ำยม-น่าน2,17.321,100.012,คอรุม,พิชัย,อุตรดิตถ์,ยม,คลองบางแก้ว,,,
PAI001,เมืองแม่ฮ่องสอน,19.366999,97.96668,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,สาละวิน,น้ำแม่ปายตอนล่างส่วนที่ 2,205.974,208.06,199.763
PAI002,ปาย,19.37388,98.43969,เวียงเหนือ,ปาย,แม่ฮ่องสอน,สาละวิน,น้ำแม่ปายตอนบน,506.853,506.465,497.9
PAS001,หล่มสัก,16.78148,101.24671,หล่มสัก,หล่มสัก,เพชรบูรณ์,ป่าสัก,แม่น้ำป่าสักตอนบน,144.47,145.238,138.706
PAS002,เมืองเพชรบูรณ์,16.447943,101.17014,สะเดียง,เมืองเพชรบูรณ์,เพชรบูรณ์,ป่าสัก,แม่น้ำป่าสักส่วนที่ 2,116.179,116.127,108.607
PAS003,หนองไผ่,16.11501,101.097084,นาเฉลียง,หนองไผ่,เพชรบูรณ์,ป่าสัก,แม่น้ำป่าสักส่วนที่ 3/1,93.54,96.021,88.24
PAS008,ท่าเรือ,14.5601425,100.71988,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,ป่าสัก,แม่น้ำป่าสักตอนล่างส่วนที่ 2,7.381,6.124,-5.446
PAS009,นครหลวง,14.40271,100.5864,บ่อโพง,นครหลวง,พระนครศรีอยุธยา,ป่าสัก,แม่น้ำป่าสักตอนล่างส่วนที่ 2,3.882,5.234,-5.347
PAT001,บันนังสตา,6.262088,101.26825,บันนังสตา,บันนังสตา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง,38.678,38.348,19.79
PAT002,เมืองยะลา,6.675259,101.28636,ตาเซะ,เมืองยะลา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง,13.85,13.85,1.74
PIN001,บ้านตาก,17.04065,99.06627,ตากตก,บ้านตาก,ตาก,ปิง,แม่น้ำปิงส่วนที่ 4/2,121.603,122.568,117.722
PIN002,เมืองตาก,16.786549,99.18397,ประดาง,วังเจ้า,ตาก,ปิง,แม่น้ำปิงส่วนที่ 4/3,103.725,101.325,98.699
PIN003,สะพานลานดอกไม้,16.628176,99.43255,ลานดอกไม้,เมืองกำแพงเพชร,กำแพงเพชร,ปิง,แม่น้ำปิงส่วนที่ 4/5,86.131,84.642,80.145
PIN004,ขาณุวรลักษบุรี,16.064789,99.860275,ป่าพุทรา,ขาณุวรลักษบุรี,กำแพงเพชร,ปิง,แม่น้ำปิงตอนล่าง,45.331,46.707,38.988
PIN005,เก้าเลี้ยว,15.850501,100.05206,หัวดง,เก้าเลี้ยว,นครสวรรค์,ปิง,แม่น้ำปิงตอนล่าง,31.533,32.821,26.293
